斥,岿,堡魂备,巢备,悼备,合备,辑备
2020,1,33858.748,10002.04,10188.62,60180.17,57015.39
2020,2,27679.322,8859.74,8290.67,55596.23,52196.156
2020,3,30470.56,8409.33,9245.3,48137.77,47398.324
2020,4,33526.232,8769.49,9157.15,52862.19,51840.7
2020,5,32933.314,9270.69,9233.28,50325.2,56475.77
2020,6,30262.708,8676.86,9470.55,35360.01,38701.476
2020,7,33434.054000000004,8357.87,9611.5,71741.93,50329.282
2020,8,36713.836,9453.4,11165.87,33874.46,55512.356
2020,9,31952.03,8598.93,9993.77,50573.44,45393.943
2020,10,35723.194,10219.07,11197.66,96003.9,51124.4109
2020,11,33923.37,10608.68,12150.37,133830.2199,50104.431
2020,12,3626.322,919.3,1243.69,20168.6808,5895.25
2021,1,78534.2958,13575.39,42836.7533,209974.4091,56789.58
2021,2,57345.326,13108.25,37168.424,177832.5147,50526.03
2021,3,61967.6272,15268.89,35947.3321,186133.9058,54902.292
2021,4,61060.8065,13780.05,30558.7924,169055.4662,49813.84
2021,5,29575.8884,5260.19,15064.4584,81796.5595,24457.56
2021,6,55943.6985,11901.884999999998,26393.10415,147279.9239,41648.6885
2021,7,82311.5086,18543.58,37721.7499,212763.2883,58839.817
2021,8,83149.7335,15974.56,35708.2,198688.1689,57510.343
2021,9,80935.2428,12257.41,32595.4375,182617.3693,53021.389
2021,10,47088.851,7525.88,19389.13,101491.097,31629.893
